"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
study_id,informacao_geral_e_consentimento,,text,"ID do estudo",,,,,,y,,,,,,,
group,informacao_geral_e_consentimento,,radio,Grupo,"1, Cuidado habitual | 2, Utilizo a App RespiRA",,,,,,,y,,,,,
consent_signature,informacao_geral_e_consentimento,,yesno,"Assinatura do consentimento informado",,"Para prosseguir é necessário que tenha assinado o consentimento informado.",,,,,,y,,,,," @STOPACTION='0'"
consent_document,informacao_geral_e_consentimento,,file,"Por favor, submeta aqui o seu consentimento informado assinado",,,,,,,[consent_signature]='1',y,,,,,
id,dados_demograficos,"Características demográficas",text,"Número de utente de saúde",,,number,,,y,,y,,,,,
sex,dados_demograficos,,dropdown,Sexo,"0, Feminino | 1, Masculino",,,,,y,,y,,,,,
dob,dados_demograficos,,text,"Data de nascimento",,"(ex: 01-12-2000)",date_dmy,,,y,,y,,,,," @MINDATE='2026-04-16 -65y' @MAXDATE='2026-04-16 -18y'"
age,dados_demograficos,,calc,Idade,"rounddown(datediff([dob], 'today', 'y'), 0)",,,,,,,,,,,,
age_warning,dados_demograficos,,descriptive,"⚠️ <span style=""color:red; font-weight:bold;"">ERRO DE ELEGIBILIDADE: O doente tem [age] anos. Este estudo apenas admite participantes entre os 18 e os 65 anos.</span>",,,,,,,"rounddown(datediff([dob], 'today', 'y')) < 18 OR rounddown(datediff([dob], 'today', 'y')) > 65",,,,,,
ethnicity,dados_demograficos,,radio,Etnia,"0, Hispânico ou Latino | 1, NÃO Hispânico ou Latino | 2, Desconhecido / Não Informado",,,,,,,,,,,,
race,dados_demograficos,,radio,Raça,"0, Indígena americano/nativo do Alasca | 1, Asiático | 2, Nativo havaiano ou de outras ilhas do Pacífico | 3, Negro ou afro-americano | 4, Branco | 5, Mais de uma raça | 6, Desconhecido/não informado",,,,,y,,,,,,,
telephone_1,dados_demograficos,"Informações de contacto",text,"Número de telemóvel",,"ex: 912345678",integer,,,,,,,,,,
telephone_2,dados_demograficos,,text,"Número de telemóvel (2)",,"ex: 912345678",integer,,,y,,,,,,,
email,dados_demograficos,,text,E-mail,,,email,,,y,,,,,,,
height,historia_clinica_e_comorbilidades,"Caracterização Antropométrica e Estilo de Vida",text,Altura,,"(valor em cm, ex: 172)",integer,100,250,,,y,,,,,
smoking_stage,historia_clinica_e_comorbilidades,,radio,"Hábitos tabágicos","0, Nunca fumou | 1, Ex-fumador | 2, Fumador ativo",,,,,,,y,,,,,
smoking_pack_years,historia_clinica_e_comorbilidades,,text,"Carga tabágica ",,"(valor em anos-maço, ex: 10)",number,0,,,"[smoking_stage]='1' or [smoking_stage]='2'",y,,,,,
years_since_diagnosis,historia_clinica_e_comorbilidades,"Histórico Clínico e Comorbilidades",text,"Anos de diagnóstico de asma",,,integer,0,,,,y,,,,,
current_therapy,historia_clinica_e_comorbilidades,,checkbox,"Terapêutica atual relacionada com a asma","1, SABA (ex: Salbutamol/Ventilan) | 2, ICS (Corticosteroides inalados - ex: Budesonida, Fluticasona) | 3, LABA+ICS (Combinações de longa duração) | 4, LAMA (Antagonistas muscarínicos) | 5, Outros",,,,,,,y,,,,,
med_habitual,historia_clinica_e_comorbilidades,,text,"Outra medicação habitual",,,,,,,,,,,,,
associated_pathologies,historia_clinica_e_comorbilidades,,checkbox,"Patologias associadas","1, Rinite Alérgica | 2, Refluxo Gastroesofágico | 3, Obesidade | 4, Ansiedade/Depressão | 5, Nenhuma | 99, Outros",,,,,,,y,,,,,
other_pathology_text,historia_clinica_e_comorbilidades,,text,"Especifique a outra patologia:",,,,,,,"[associated_pathologies(99)] = '1'",y,,,,,
preg_baseline,historia_clinica_e_comorbilidades,"Informações de gestação",yesno,"Presença de gravidez",,,,,,,"[sex] = '0'",y,RH,,,,
preg_baseline_notes,historia_clinica_e_comorbilidades,,notes,"Notas e observações sobre a gravidez (ex: tempo de gestação, cuidados especiais):",,,,,,,"[preg_baseline] = '1'",,RH,,,,
weight,monitorizacao_clinica,"Dados Antropométricos e Estado Clínico Atual",text,Peso,,"(valor em kg, ex: 70.5)",number,30,250,,,y,,,,,
body_mass_index,monitorizacao_clinica,,calc,"Índice de Massa Corporal (IMC)","[weight] / (([baseline_arm_1][height]/100)^2)",,,,,,,,,,,,
pregnancy_change,monitorizacao_clinica,,yesno,"Alterações no estado de gravidez desde a última visita",,,,,,,"[baseline_arm_1][sex] = '0'",y,,,,,
pregnancy_notes,monitorizacao_clinica,,notes,"Notas adicionais sobre a gravidez",,,,,,,"[pregnancy_change]= '1'",,,,,,
act_score,monitorizacao_clinica,"Controlo da Asma e Sintomatologia",text,"Pontuação ACT (Asthma Control Test)",,"(Pontuação total entre 5 e 25; valores < 20 indicam asma não controlada)",integer,5,25,,,y,,,,,
control_alert,monitorizacao_clinica,,descriptive,"<b style=""color:red;"">⚠️ ALERTA: Doente com asma não controlada (Score inferior a 20)",,,,,,,"[act_score] < 20",,,,,,
night_awakening,monitorizacao_clinica,,yesno,"Despertar durante a noite devido a sintomas de asma",,,,,,,,y,,,,,
shortness_breathe,monitorizacao_clinica,"Por favor responda a todas as perguntas com o número que melhor descreve como se tem sentido durante as duas últimas semanas, por ter asma.",radio,"Sentiu falta de ar por causa da asma?","1, Sempre | 2, Quase sempre | 3, Bastante tempo | 4, Algum tempo | 5, Pouco tempo | 6, Quase nunca | 7, Nunca",,,,,,"[event-name] = 'baseline_arm_1' OR [event-name] = 'semana_12_arm_1'",y,,1,group_aqlq,,
avoid_dust,monitorizacao_clinica,,radio,"Sentiu-se incomodado/a por, ou teve de evitar um ambiente com pó?","1, Sempre | 2, Quase sempre | 3, Bastante tempo | 4, Algum tempo | 5, Pouco tempo | 6, Quase nunca | 7, Nunca",,,,,,"[event-name] = 'baseline_arm_1' OR [event-name] = 'semana_12_arm_1'",y,,2,group_aqlq,,
feelings,monitorizacao_clinica,,radio,"Teve um sentimento de frustração, tristeza ou revolta por causa da asma?","1, Sempre | 2, Quase sempre | 3, Bastante tempo | 4, Algum tempo | 5, Pouco tempo | 6, Quase nunca | 7, Nunca",,,,,,"[event-name] = 'baseline_arm_1' OR [event-name] = 'semana_12_arm_1'",y,,3,group_aqlq,,
cough,monitorizacao_clinica,,radio,"Sentiu-se incomodado/a por ter tosse?","1, Sempre | 2, Quase sempre | 3, Bastante tempo | 4, Algum tempo | 5, Pouco tempo | 6, Quase nunca | 7, Nunca",,,,,,"[event-name] = 'baseline_arm_1' OR [event-name] = 'semana_12_arm_1'",y,,4,group_aqlq,,
acess_medication,monitorizacao_clinica,,radio,"Teve medo, receio de não ter à mão a medicação para a asma?","1, Sempre | 2, Quase sempre | 3, Bastante tempo | 4, Algum tempo | 5, Pouco tempo | 6, Quase nunca | 7, Nunca",,,,,,"[event-name] = 'baseline_arm_1' OR [event-name] = 'semana_12_arm_1'",y,,5,group_aqlq,,
